"Offenses","All ages","0 to 17","18 & older","10 to 17","0 to 14","15 to 17","18 to 20","21 to 24","25 & older",
"All offenses","14,034,590","2,129,340","11,905,250","2,077,440","725,670","1,403,670","2,001,550","2,200,570","7,703,140",
"Murder and nonnegligent manslaughter","24,050","3,320","20,730","3,310","390","2,920","5,270","4,470","10,990",
"Forcible rape","40,120","6,350","33,770","6,230","2,340","4,020","5,300","6,210","22,260",
"Robbery","173,820","44,490","129,330","44,140","12,550","31,940","33,190","30,250","65,900",
"Aggravated assault","480,900","68,400","412,510","66,980","20,830","47,560","62,210","75,820","274,480",
"Burglary","436,500","147,800","288,700","143,190","59,390","88,420","78,630","60,370","149,700",
"Larceny-theft","1,588,300","479,760","1,108,540","464,220","218,030","261,730","216,600","188,790","703,160",
"Motor vehicle theft","207,700","90,250","117,450","89,890","25,660","64,580","38,390","26,410","52,660",
"Arson","20,000","9,310","10,690","7,880","6,360","2,960","1,990","1,770","6,930",
"Simple assault","1,041,200","163,500","877,710","159,140","66,160","97,340","117,800","163,250","596,650",
"Forgery and counterfeiting","103,700","9,100","94,600","9,020","1,590","7,510","16,900","18,930","58,770",
"Fraud","427,800","14,520","413,280","14,380","3,720","10,800","43,080","77,590","292,610",
"Embezzlement","14,000","1,030","12,970","1,010","210","820","2,240","2,530","8,200",
"Stolen property (buying, receiving, possessing)","170,000","45,850","124,150","45,470","13,190","32,660","34,850","26,610","62,690",
"Vandalism","335,100","142,360","192,740","133,140","70,460","71,900","49,390","41,260","102,100",
"Weapons (carrying, possessing, etc.)","232,300","48,530","183,770","48,020","13,760","34,770","43,090","40,340","100,340",
"Prostitution and commercialized vice","98,900","1,370","97,530","1,370","210","1,170","8,180","19,700","69,650",
"Sex offense (except forcible rape and prostitution)","108,000","19,040","88,960","18,090","9,700","9,340","9,610","12,500","66,860",
"Drug abuse violations","1,010,000","80,200","929,800","79,990","11,420","68,780","150,320","185,540","593,940",
"Gambling","16,600","1,410","15,200","1,400","230","1,180","1,790","1,690","11,710",
"Offenses against the family and children","99,400","3,840","95,560","3,640","1,280","2,550","8,550","14,860","72,150",
"Driving under the influence","1,771,400","18,660","1,752,740","18,460","560","18,110","138,090","297,880","1,316,770",
"Liquor laws","624,100","144,790","479,310","144,550","12,920","131,870","288,360","62,890","128,050",
"Drunkenness","881,100","22,100","859,000","21,960","2,660","19,430","79,830","128,480","650,690",
"Disorderly conduct","757,700","132,910","624,790","130,200","41,790","91,120","117,660","135,370","371,770",
"Vagrancy","38,500","3,050","35,460","3,010","800","2,240","3,780","3,920","27,760",
"All other offenses (except traffic)","3,240,000","334,030","2,905,970","325,990","101,440","232,580","446,480","573,150","1,886,350",
"Curfew and loitering","93,400","93,400","0","92,780","28,020","65,380","0","0","0",
"Violent Crime Index","718,890","122,550","596,340","120,650","36,110","86,440","105,970","116,760","373,620",
"Property Crime Index","2,252,500","727,120","1,525,380","705,170","309,440","417,680","335,600","277,340","912,450",
"Violent crimes*","678,770","116,200","562,570","114,430","33,780","82,420","100,670","110,540","351,360",

"* The 'violent crimes' category includes the offenses of murder, robbery, and aggravated assault and is presented as an alternative to the Violent Crime Index, which is not available as a result of the change to the definition of rape in 2013. In any given year prior to the change in the rape definition, these three offenses accounted for more than 95% of arrests for Violent Crime Index offenses."

"Internet citation: OJJDP Statistical Briefing Book. Estimated number of arrests by offense and age group, 1991. Available: https://www.ojjdp.gov/ojstatbb/crime/ucr.asp?table_in=1. Released onNovember 16, 2020."

"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
