"Offenses","All ages","0 to 17","18 & older","10 to 17","0 to 14","15 to 17","18 to 20","21 to 24","25 & older",
"All offenses","13,855,810","2,236,540","11,619,270","2,194,200","756,880","1,479,660","1,791,800","2,088,460","7,739,010",
"Murder and nonnegligent manslaughter","23,400","3,760","19,650","3,740","460","3,300","5,010","4,600","10,040",
"Forcible rape","38,420","6,360","32,060","6,230","2,500","3,850","4,660","5,630","21,780",
"Robbery","173,620","49,230","124,400","48,940","14,080","35,150","30,900","27,690","65,800",
"Aggravated assault","518,670","79,780","438,890","78,530","25,310","54,470","61,190","78,240","299,460",
"Burglary","402,700","140,450","262,250","136,730","56,660","83,790","64,380","51,710","146,160",
"Larceny-theft","1,476,300","461,820","1,014,480","449,960","208,460","253,360","183,780","163,890","666,810",
"Motor vehicle theft","195,900","87,650","108,250","87,360","26,030","61,620","32,630","23,550","52,080",
"Arson","19,400","9,620","9,780","8,520","6,260","3,360","1,810","1,530","6,440",
"Simple assault","1,144,900","188,470","956,440","184,250","77,840","110,630","113,770","170,370","672,290",
"Forgery and counterfeiting","106,900","7,860","99,040","7,830","1,310","6,550","15,690","19,630","63,720",
"Fraud","410,700","19,740","390,960","19,580","5,210","14,530","40,080","72,780","278,100",
"Embezzlement","12,900","730","12,170","720","100","630","1,940","2,430","7,800",
"Stolen property (buying, receiving, possessing)","158,100","42,900","115,200","42,600","12,330","30,570","29,620","24,280","61,300",
"Vandalism","313,000","143,390","169,610","136,100","68,280","75,110","41,660","34,930","93,020",
"Weapons (carrying, possessing, etc.)","262,300","61,480","200,820","60,790","18,740","42,740","47,340","46,060","107,420",
"Prostitution and commercialized vice","97,800","1,150","96,660","1,140","180","970","6,660","16,660","73,330",
"Sex offense (except forcible rape and prostitution)","104,100","19,600","84,500","18,720","10,120","9,480","8,530","11,730","64,240",
"Drug abuse violations","1,126,300","112,760","1,013,540","112,510","17,920","94,840","166,420","196,940","650,180",
"Gambling","17,300","2,080","15,220","2,070","370","1,710","1,970","1,850","11,400",
"Offenses against the family and children","109,100","5,030","104,070","4,840","1,620","3,410","7,940","15,770","80,360",
"Driving under the influence","1,524,800","13,680","1,511,120","13,550","390","13,290","95,670","245,330","1,170,130",
"Liquor laws","518,500","115,700","402,800","115,530","12,130","103,580","219,300","54,540","128,960",
"Drunkenness","726,600","16,920","709,680","16,810","2,340","14,590","54,390","99,610","555,690",
"Disorderly conduct","727,000","146,820","580,180","144,650","47,900","98,920","100,990","119,670","359,530",
"Vagrancy","28,200","3,870","24,330","3,840","1,100","2,770","3,090","3,070","18,160",
"All other offenses (except traffic)","3,518,700","395,510","3,123,200","388,890","108,600","286,900","452,410","595,970","2,074,820",
"Curfew and loitering","100,200","100,200","0","99,790","30,660","69,540","0","0","0",
"Violent Crime Index","754,110","139,120","614,990","137,440","42,350","96,770","101,760","116,150","397,080",
"Property Crime Index","2,094,300","699,540","1,394,760","682,560","297,410","402,130","282,590","240,690","871,490",
"Violent crimes*","715,690","132,760","582,930","131,210","39,840","92,920","97,100","110,530","375,300",

"* The 'violent crimes' category includes the offenses of murder, robbery, and aggravated assault and is presented as an alternative to the Violent Crime Index, which is not available as a result of the change to the definition of rape in 2013. In any given year prior to the change in the rape definition, these three offenses accounted for more than 95% of arrests for Violent Crime Index offenses."

"Internet citation: OJJDP Statistical Briefing Book. Estimated number of arrests by offense and age group, 1993. Available: https://www.ojjdp.gov/ojstatbb/crime/ucr.asp?table_in=1. Released onNovember 16, 2020."

"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
