"Offenses","All ages","0 to 17","18 & older","10 to 17","0 to 14","15 to 17","18 to 20","21 to 24","25 & older",
"All offenses","14,181,970","2,042,300","12,139,670","1,983,850","667,580","1,374,720","2,078,000","2,326,280","7,735,390",
"Murder and nonnegligent manslaughter","22,300","2,680","19,620","2,660","350","2,330","4,000","4,040","11,580",
"Forcible rape","39,110","5,980","33,130","5,860","2,160","3,830","4,900","6,210","22,020",
"Robbery","165,060","37,590","127,470","37,230","10,780","26,810","30,200","30,510","66,760",
"Aggravated assault","459,000","59,960","399,040","58,720","18,000","41,960","56,110","72,860","270,070",
"Burglary","468,900","150,400","318,500","144,810","59,270","91,130","86,690","68,710","163,100",
"Larceny-theft","1,604,400","461,160","1,143,240","442,500","207,310","253,850","227,830","202,260","713,150",
"Motor vehicle theft","228,500","93,230","135,270","92,850","25,510","67,720","42,900","30,840","61,530",
"Arson","18,600","8,070","10,530","6,660","5,530","2,540","1,940","1,940","6,660",
"Simple assault","978,900","140,380","838,520","135,740","54,270","86,110","110,250","162,000","566,270",
"Forgery and counterfeiting","105,400","8,110","97,290","8,060","1,190","6,920","16,960","19,960","60,370",
"Fraud","376,600","11,200","365,400","11,050","3,280","7,920","35,280","68,930","261,200",
"Embezzlement","18,200","1,510","16,690","1,500","170","1,340","2,900","3,430","10,360",
"Stolen property (buying, receiving, possessing)","176,800","43,980","132,820","43,480","11,960","32,020","36,100","28,810","67,910",
"Vandalism","307,800","121,690","186,110","112,300","60,470","61,210","47,510","40,960","97,650",
"Weapons (carrying, possessing, etc.)","225,200","38,920","186,280","38,410","10,150","28,770","38,380","38,020","109,880",
"Prostitution and commercialized vice","107,400","1,600","105,800","1,590","180","1,420","10,870","23,290","71,640",
"Sex offense (except forcible rape and prostitution)","104,800","17,140","87,670","16,260","8,490","8,640","9,670","13,110","64,890",
"Drug abuse violations","1,361,700","112,560","1,249,140","112,170","15,390","97,180","212,180","267,690","769,270",
"Gambling","20,600","1,120","19,490","1,100","160","950","1,710","1,640","16,140",
"Offenses against the family and children","74,200","2,710","71,490","2,500","900","1,810","6,460","11,670","53,360",
"Driving under the influence","1,736,200","20,440","1,715,760","20,290","460","19,990","146,030","300,850","1,268,880",
"Liquor laws","657,300","154,230","503,070","153,860","12,730","141,500","301,610","69,540","131,920",
"Drunkenness","822,500","21,850","800,650","21,690","2,470","19,380","72,990","121,680","605,980",
"Disorderly conduct","776,600","119,950","656,650","117,170","36,060","83,890","120,130","142,580","393,950",
"Vagrancy","33,800","2,820","30,980","2,770","830","1,990","4,010","4,390","22,590",
"All other offenses (except traffic)","3,214,700","325,640","2,889,060","315,860","96,640","229,000","450,420","590,370","1,848,270",
"Curfew and loitering","77,400","77,400","0","76,760","22,850","54,550","0","0","0",
"Violent Crime Index","685,470","106,210","579,260","104,470","31,290","74,920","95,200","113,620","370,440",
"Property Crime Index","2,320,400","712,860","1,607,540","686,830","297,620","415,240","359,360","303,750","944,430",
"Violent crimes*","646,360","100,230","546,130","98,600","29,130","71,090","90,310","107,410","348,420",

"* The 'violent crimes' category includes the offenses of murder, robbery, and aggravated assault and is presented as an alternative to the Violent Crime Index, which is not available as a result of the change to the definition of rape in 2013. In any given year prior to the change in the rape definition, these three offenses accounted for more than 95% of arrests for Violent Crime Index offenses."

"Internet citation: OJJDP Statistical Briefing Book. Estimated number of arrests by offense and age group, 1989. Available: https://www.ojjdp.gov/ojstatbb/crime/ucr.asp?table_in=1. Released onNovember 16, 2020."

"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
