"Offenses","All ages","0 to 17","18 & older","10 to 17","0 to 14","15 to 17","18 to 20","21 to 24","25 & older",
"All offenses","14,972,310","2,667,500","12,304,810","2,624,620","845,580","1,821,930","2,030,210","1,983,590","8,291,020",
"Murder and nonnegligent manslaughter","19,020","2,780","16,240","2,770","320","2,460","3,980","3,770","8,490",
"Forcible rape","33,050","5,600","27,450","5,530","1,920","3,690","4,360","4,540","18,540",
"Robbery","156,270","49,840","106,430","49,520","13,340","36,500","30,830","20,540","55,050",
"Aggravated assault","521,570","77,090","444,480","75,720","24,490","52,600","60,630","72,180","311,680",
"Burglary","364,800","136,820","227,980","133,420","51,260","85,550","62,120","39,000","126,860",
"Larceny-theft","1,486,300","504,270","982,040","493,680","210,940","293,330","203,420","145,110","633,510",
"Motor vehicle theft","175,400","73,020","102,390","72,750","19,230","53,780","30,720","19,350","52,310",
"Arson","19,000","10,100","8,900","8,830","6,770","3,340","1,800","1,380","5,710",
"Simple assault","1,329,000","235,160","1,093,850","229,970","96,040","139,110","130,290","172,180","791,370",
"Forgery and counterfeiting","121,600","8,670","112,930","8,640","1,060","7,610","17,980","20,480","74,470",
"Fraud","465,000","23,030","441,970","22,900","6,310","16,710","47,480","77,410","317,080",
"Embezzlement","15,700","1,280","14,420","1,280","90","1,190","2,820","2,760","8,850",
"Stolen property (buying, receiving, possessing)","151,100","41,070","110,030","40,820","11,030","30,040","29,470","20,620","59,950",
"Vandalism","320,900","142,210","178,690","135,630","64,000","78,220","46,280","33,430","98,980",
"Weapons (carrying, possessing, etc.)","216,200","52,810","163,390","51,970","15,930","36,870","37,750","32,870","92,770",
"Prostitution and commercialized vice","99,000","1,350","97,650","1,330","180","1,170","6,630","12,630","78,390",
"Sex offense (except forcible rape and prostitution)","95,800","17,730","78,070","16,910","8,830","8,900","8,620","9,800","59,640",
"Drug abuse violations","1,506,200","211,990","1,294,210","211,600","35,630","176,350","256,240","224,990","812,980",
"Gambling","21,000","2,770","18,230","2,760","370","2,400","2,970","2,530","12,740",
"Offenses against the family and children","149,800","8,680","141,120","8,400","2,820","5,860","10,640","18,370","112,110",
"Driving under the influence","1,467,300","18,400","1,448,900","18,240","460","17,940","100,290","210,930","1,137,690",
"Liquor laws","677,400","159,880","517,520","159,610","17,440","142,440","266,300","57,720","193,500",
"Drunkenness","718,700","23,770","694,930","23,640","3,340","20,440","58,260","89,150","547,520",
"Disorderly conduct","842,600","216,100","626,500","213,550","73,630","142,470","121,840","118,640","386,020",
"Vagrancy","27,800","3,830","23,970","3,810","860","2,970","4,270","3,230","16,470",
"All other offenses (except traffic)","3,786,700","454,170","3,332,530","447,450","128,050","326,130","484,210","569,970","2,278,350",
"Curfew and loitering","185,100","185,100","0","183,910","51,240","133,860","0","0","0",
"Violent Crime Index","729,910","135,310","594,600","133,530","40,070","95,240","99,800","101,040","393,760",
"Property Crime Index","2,045,500","724,200","1,321,300","708,680","288,200","436,000","298,070","204,840","818,400",
"Violent crimes*","696,860","129,710","567,150","128,000","38,150","91,560","95,440","96,490","375,220",

"* The 'violent crimes' category includes the offenses of murder, robbery, and aggravated assault and is presented as an alternative to the Violent Crime Index, which is not available as a result of the change to the definition of rape in 2013. In any given year prior to the change in the rape definition, these three offenses accounted for more than 95% of arrests for Violent Crime Index offenses."

"Internet citation: OJJDP Statistical Briefing Book. Estimated number of arrests by offense and age group, 1996. Available: https://www.ojjdp.gov/ojstatbb/crime/ucr.asp?table_in=1. Released onNovember 16, 2020."

"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
