"Offenses","All ages","0 to 17","18 & older","10 to 17","0 to 14","15 to 17","18 to 20","21 to 24","25 & older",
"All offenses","13,838,320","2,157,200","11,681,120","2,125,630","682,730","1,474,480","2,040,560","1,956,560","7,684,000",
"Murder and nonnegligent manslaughter","13,230","1,180","12,050","1,170","140","1,030","2,780","2,720","6,560",
"Forcible rape","27,470","4,440","23,030","4,380","1,690","2,750","4,020","3,960","15,040",
"Robbery","106,130","27,510","78,620","27,350","7,390","20,120","23,520","16,330","38,770",
"Aggravated assault","478,420","66,090","412,330","64,870","23,730","42,360","56,840","67,860","287,640",
"Burglary","289,840","95,220","194,620","92,850","36,630","58,600","55,220","34,780","104,620",
"Larceny-theft","1,166,360","362,450","803,910","355,600","144,150","218,310","180,120","121,990","501,810",
"Motor vehicle theft","148,230","50,400","97,830","50,280","12,900","37,510","29,230","19,090","49,500",
"Arson","16,530","8,480","8,050","7,560","5,520","2,960","1,900","1,280","4,870",
"Simple assault","1,312,170","234,270","1,077,900","229,170","101,420","132,850","135,740","172,240","769,920",
"Forgery and counterfeiting","108,650","6,300","102,350","6,270","810","5,490","17,500","18,190","66,670",
"Fraud","345,730","16,170","329,570","16,110","4,370","11,800","38,070","53,980","237,520",
"Embezzlement","18,950","1,900","17,050","1,900","120","1,780","3,940","3,120","9,990",
"Stolen property (buying, receiving, possessing)","118,640","26,120","92,520","25,940","7,270","18,860","24,000","17,400","51,120",
"Vandalism","281,310","113,560","167,750","109,180","49,790","63,770","46,780","32,980","87,990",
"Weapons (carrying, possessing, etc.)","159,180","36,500","122,680","35,910","12,280","24,220","29,840","26,050","66,790",
"Prostitution and commercialized vice","87,620","1,410","86,210","1,400","180","1,230","7,080","10,780","68,350",
"Sex offense (except forcible rape and prostitution)","93,400","17,460","75,940","16,850","9,110","8,350","9,810","9,740","56,390",
"Drug abuse violations","1,579,570","197,500","1,382,070","197,150","31,450","166,050","304,180","258,290","819,600",
"Gambling","10,840","1,070","9,780","1,060","170","890","1,510","1,560","6,700",
"Offenses against the family and children","147,660","8,760","138,900","8,390","3,350","5,420","10,250","17,600","111,050",
"Driving under the influence","1,471,290","21,310","1,449,980","21,130","610","20,700","133,310","235,160","1,081,510",
"Liquor laws","683,120","130,390","552,740","130,250","12,760","117,630","271,240","63,320","218,180",
"Drunkenness","637,550","21,910","615,640","21,780","2,790","19,120","60,250","87,640","467,750",
"Disorderly conduct","638,740","160,690","478,050","158,980","61,490","99,200","94,470","95,800","287,790",
"Vagrancy","32,540","3,600","28,940","3,580","830","2,770","4,610","3,300","21,030",
"All other offenses (except traffic)","3,710,430","387,820","3,322,620","382,780","108,180","279,630","494,370","581,400","2,246,850",
"Curfew and loitering","154,710","154,710","0","153,760","43,620","111,090","0","0","0",
"Violent Crime Index","625,240","99,210","526,030","97,770","32,950","66,260","87,150","90,870","348,010",
"Property Crime Index","1,620,960","516,560","1,104,400","506,280","199,180","317,370","266,460","177,150","660,800",
"Violent crimes*","597,770","94,770","503,000","93,390","31,260","63,510","83,130","86,910","332,970",

"* The 'violent crimes' category includes the offenses of murder, robbery, and aggravated assault and is presented as an alternative to the Violent Crime Index, which is not available as a result of the change to the definition of rape in 2013. In any given year prior to the change in the rape definition, these three offenses accounted for more than 95% of arrests for Violent Crime Index offenses."

"Internet citation: OJJDP Statistical Briefing Book. Estimated number of arrests by offense and age group, 2000. Available: https://www.ojjdp.gov/ojstatbb/crime/ucr.asp?table_in=1. Released onNovember 16, 2020."

"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
