"Offenses","All ages","0 to 17","18 & older","10 to 17","0 to 14","15 to 17","18 to 20","21 to 24","25 & older",
"All offenses","13,818,730","2,064,210","11,754,520","2,042,840","658,160","1,406,050","1,965,750","2,130,380","7,658,400",
"Murder and nonnegligent manslaughter","13,470","1,100","12,360","1,100","130","970","2,500","2,910","6,950",
"Forcible rape","26,070","4,200","21,860","4,170","1,600","2,610","3,770","3,940","14,150",
"Robbery","108,990","25,280","83,710","25,200","6,200","19,090","22,190","17,850","43,680",
"Aggravated assault","438,030","60,220","377,810","59,410","21,220","39,000","48,440","66,130","263,230",
"Burglary","294,650","81,070","213,580","79,790","28,610","52,450","53,620","40,860","119,100",
"Larceny-theft","1,185,620","319,830","865,790","316,550","119,470","200,360","172,330","141,660","551,800",
"Motor vehicle theft","148,430","39,360","109,070","39,280","9,680","29,690","26,170","23,210","59,700",
"Arson","15,500","7,670","7,830","7,180","4,710","2,960","1,510","1,270","5,050",
"Simple assault","1,284,860","250,580","1,034,280","246,870","107,790","142,790","124,570","175,750","733,960",
"Forgery and counterfeiting","119,520","4,830","114,690","4,790","730","4,100","15,450","21,220","78,020",
"Fraud","282,940","6,610","276,330","6,500","1,160","5,450","25,360","43,350","207,630",
"Embezzlement","17,330","1,000","16,340","990","50","950","3,200","3,160","9,980",
"Stolen property (buying, receiving, possessing)","128,530","22,970","105,560","22,850","6,210","16,760","23,040","21,090","61,440",
"Vandalism","272,520","102,670","169,850","99,970","44,960","57,710","43,330","36,940","89,580",
"Weapons (carrying, possessing, etc.)","175,780","40,460","135,320","39,930","14,450","26,010","30,670","31,240","73,410",
"Prostitution and commercialized vice","87,870","1,760","86,110","1,750","210","1,550","9,010","11,790","65,310",
"Sex offense (except forcible rape and prostitution)","90,910","18,170","72,750","17,650","9,330","8,840","10,020","10,480","52,250",
"Drug abuse violations","1,746,570","193,310","1,553,260","192,920","33,410","159,900","313,680","318,380","921,190",
"Gambling","10,760","1,650","9,100","1,640","260","1,400","2,140","1,770","5,190",
"Offenses against the family and children","124,940","6,120","118,820","5,980","2,200","3,920","8,100","15,400","95,320",
"Driving under the influence","1,433,380","19,730","1,413,650","19,600","430","19,300","131,690","274,310","1,007,640",
"Liquor laws","612,530","125,400","487,130","125,220","12,930","112,470","294,950","46,240","145,940",
"Drunkenness","552,670","16,600","536,070","16,520","2,060","14,540","53,290","88,600","394,180",
"Disorderly conduct","657,640","199,010","458,630","197,140","83,460","115,550","83,170","99,030","276,440",
"Vagrancy","36,400","4,440","31,960","4,420","1,370","3,080","2,630","2,860","26,470",
"All other offenses (except traffic)","3,815,440","372,770","3,442,670","368,590","105,600","267,160","460,940","630,950","2,350,770",
"Curfew and loitering","137,400","137,400","0","136,850","39,950","97,450","0","0","0",
"Violent Crime Index","586,560","90,810","495,740","89,890","29,140","61,670","76,890","90,830","328,020",
"Property Crime Index","1,644,200","447,930","1,196,270","442,790","162,470","285,460","253,620","207,000","735,650",
"Violent crimes*","560,490","86,610","473,880","85,720","27,550","59,060","73,130","86,890","313,870",

"* The 'violent crimes' category includes the offenses of murder, robbery, and aggravated assault and is presented as an alternative to the Violent Crime Index, which is not available as a result of the change to the definition of rape in 2013. In any given year prior to the change in the rape definition, these three offenses accounted for more than 95% of arrests for Violent Crime Index offenses."

"Internet citation: OJJDP Statistical Briefing Book. Estimated number of arrests by offense and age group, 2004. Available: https://www.ojjdp.gov/ojstatbb/crime/ucr.asp?table_in=1. Released onNovember 16, 2020."

"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
