"Offenses","All ages","0 to 17","18 & older","10 to 17","0 to 14","15 to 17","18 to 20","21 to 24","25 & older",
"All offenses","14,100,490","2,061,940","12,038,550","2,045,090","576,260","1,485,680","2,007,150","2,114,450","7,916,950",
"Murder and nonnegligent manslaughter","13,480","1,340","12,140","1,340","140","1,200","2,670","2,770","6,710",
"Forcible rape","23,310","3,580","19,720","3,570","1,240","2,350","3,210","3,330","13,190",
"Robbery","126,720","34,350","92,360","34,260","7,300","27,060","28,140","19,390","44,840",
"Aggravated assault","433,950","57,230","376,720","56,610","18,000","39,230","49,310","64,250","263,160",
"Burglary","303,850","81,680","222,170","80,830","24,650","57,040","56,080","40,740","125,350",
"Larceny-theft","1,172,760","298,490","874,270","296,150","92,910","205,590","183,710","140,760","549,810",
"Motor vehicle theft","118,230","29,400","88,830","29,360","6,520","22,890","19,790","17,340","51,710",
"Arson","15,240","7,170","8,080","6,700","4,220","2,940","1,680","1,240","5,160",
"Simple assault","1,305,690","241,220","1,064,470","238,310","93,600","147,620","128,640","177,990","757,840",
"Forgery and counterfeiting","103,450","3,110","100,340","3,070","400","2,710","12,440","17,150","70,750",
"Fraud","252,870","7,190","245,680","7,120","1,120","6,080","22,310","34,150","189,220",
"Embezzlement","22,380","1,670","20,710","1,660","60","1,610","4,500","4,080","12,120",
"Stolen property (buying, receiving, possessing)","122,060","22,190","99,870","22,090","5,450","16,740","20,600","18,380","60,900",
"Vandalism","291,580","111,310","180,270","109,100","45,250","66,060","45,990","37,960","96,330",
"Weapons (carrying, possessing, etc.)","188,890","43,640","145,260","43,040","13,960","29,670","33,520","32,240","79,490",
"Prostitution and commercialized vice","77,610","1,490","76,120","1,470","190","1,300","8,270","11,140","56,710",
"Sex offense (except forcible rape and prostitution)","83,980","15,490","68,490","15,130","7,450","8,040","9,130","9,340","50,010",
"Drug abuse violations","1,841,180","195,370","1,645,820","195,000","28,920","166,450","327,200","323,900","994,720",
"Gambling","12,160","2,050","10,110","2,040","300","1,760","2,490","1,960","5,660",
"Offenses against the family and children","122,810","5,790","117,020","5,630","1,720","4,070","7,820","14,190","95,010",
"Driving under the influence","1,427,490","18,140","1,409,360","17,880","530","17,610","127,640","275,330","1,006,390",
"Liquor laws","633,650","139,120","494,540","138,970","12,460","126,660","313,380","43,720","137,430",
"Drunkenness","589,400","16,910","572,490","16,810","1,840","15,070","54,970","97,900","419,630",
"Disorderly conduct","709,110","203,020","506,090","201,500","76,770","126,250","86,450","106,270","313,370",
"Vagrancy","33,670","3,820","29,850","3,800","1,170","2,650","3,780","3,330","22,730",
"All other offenses (except traffic)","3,931,970","374,180","3,557,780","371,220","92,270","281,910","453,430","615,620","2,488,740",
"Curfew and loitering","143,000","143,000","0","142,410","37,860","105,140","0","0","0",
"Violent Crime Index","597,450","96,500","500,950","95,780","26,670","69,840","83,330","89,730","327,890",
"Property Crime Index","1,610,090","416,740","1,193,350","413,040","128,290","288,450","261,250","200,080","732,020",
"Violent crimes*","574,140","92,920","481,220","92,210","25,430","67,490","80,120","86,400","314,700",

"* The 'violent crimes' category includes the offenses of murder, robbery, and aggravated assault and is presented as an alternative to the Violent Crime Index, which is not available as a result of the change to the definition of rape in 2013. In any given year prior to the change in the rape definition, these three offenses accounted for more than 95% of arrests for Violent Crime Index offenses."

"Internet citation: OJJDP Statistical Briefing Book. Estimated number of arrests by offense and age group, 2007. Available: https://www.ojjdp.gov/ojstatbb/crime/ucr.asp?table_in=1. Released onNovember 16, 2020."

"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
