"Offenses","All ages","0 to 17","18 & older","10 to 17","0 to 14","15 to 17","18 to 20","21 to 24","25 & older",
"All offenses","13,897,200","2,210,390","11,686,810","2,176,110","696,420","1,513,970","1,998,130","1,887,930","7,800,750",
"Murder and nonnegligent manslaughter","14,790","1,410","13,380","1,410","180","1,230","3,180","3,010","7,200",
"Forcible rape","28,830","4,780","24,050","4,720","1,800","2,980","3,990","3,980","16,090",
"Robbery","108,850","29,630","79,220","29,450","8,060","21,570","23,120","15,770","40,330",
"Aggravated assault","483,530","68,640","414,890","67,350","24,460","44,190","57,240","67,230","290,410",
"Burglary","296,100","98,220","197,880","95,970","37,340","60,870","56,500","33,240","108,140",
"Larceny-theft","1,189,400","370,970","818,430","363,760","149,430","221,550","178,320","119,810","520,300",
"Motor vehicle theft","142,200","49,910","92,290","49,750","12,740","37,170","27,380","17,270","47,640",
"Arson","16,800","8,940","7,860","7,820","5,940","2,990","1,700","1,190","4,980",
"Simple assault","1,294,400","230,910","1,063,490","225,760","99,030","131,890","132,290","165,950","765,260",
"Forgery and counterfeiting","106,900","6,640","100,260","6,610","850","5,800","16,510","17,180","66,570",
"Fraud","363,800","17,630","346,170","17,420","4,930","12,690","39,280","55,970","250,920",
"Embezzlement","17,100","1,620","15,480","1,610","100","1,520","3,230","2,870","9,380",
"Stolen property (buying, receiving, possessing)","121,900","28,080","93,820","27,890","7,480","20,600","24,920","17,330","51,570",
"Vandalism","278,200","115,610","162,590","110,690","51,160","64,460","45,040","30,580","86,970",
"Weapons (carrying, possessing, etc.)","172,400","41,330","131,070","40,610","13,690","27,640","32,450","26,620","72,000",
"Prostitution and commercialized vice","92,100","1,350","90,750","1,330","180","1,170","7,260","11,060","72,430",
"Sex offense (except forcible rape and prostitution)","92,400","16,690","75,710","16,030","8,500","8,190","9,420","9,450","56,840",
"Drug abuse violations","1,532,200","191,230","1,340,970","190,780","29,510","161,730","286,070","240,550","814,350",
"Gambling","10,400","970","9,430","970","100","870","1,520","1,480","6,430",
"Offenses against the family and children","151,200","9,300","141,900","8,860","3,190","6,120","11,300","18,130","112,480",
"Driving under the influence","1,511,300","22,480","1,488,820","22,310","640","21,830","131,480","228,740","1,128,600",
"Liquor laws","657,900","137,090","520,810","136,870","13,870","123,220","261,000","57,240","202,560",
"Drunkenness","656,100","20,680","635,420","20,550","2,770","17,910","59,440","86,090","489,900",
"Disorderly conduct","633,100","165,410","467,690","163,530","61,940","103,470","93,080","92,510","282,100",
"Vagrancy","30,000","3,020","26,980","3,000","510","2,510","4,710","3,290","18,980",
"All other offenses (except traffic)","3,728,100","400,650","3,327,450","395,050","111,990","288,660","487,720","561,410","2,278,330",
"Curfew and loitering","167,200","167,200","0","166,030","46,050","121,150","0","0","0",
"Violent Crime Index","636,000","104,460","531,540","102,930","34,500","69,960","87,530","89,990","354,020",
"Property Crime Index","1,644,500","528,030","1,116,470","517,300","205,450","322,580","263,890","171,510","681,070",
"Violent crimes*","607,170","99,680","507,490","98,210","32,700","66,980","83,540","86,010","337,940",

"* The 'violent crimes' category includes the offenses of murder, robbery, and aggravated assault and is presented as an alternative to the Violent Crime Index, which is not available as a result of the change to the definition of rape in 2013. In any given year prior to the change in the rape definition, these three offenses accounted for more than 95% of arrests for Violent Crime Index offenses."

"Internet citation: OJJDP Statistical Briefing Book. Estimated number of arrests by offense and age group, 1999. Available: https://www.ojjdp.gov/ojstatbb/crime/ucr.asp?table_in=1. Released onNovember 16, 2020."

"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
