"Offenses","All ages","0 to 17","18 & older","10 to 17","0 to 14","15 to 17","18 to 20","21 to 24","25 & older",
"All offenses","11,417,260","1,788,770","9,628,490","1,738,330","590,230","1,198,550","1,718,400","2,127,070","5,783,020",
"Murder and nonnegligent manslaughter","17,770","1,330","16,440","1,320","180","1,150","2,540","3,470","10,440",
"Forcible rape","36,700","5,530","31,170","5,440","1,830","3,700","5,010","6,600","19,560",
"Robbery","138,630","34,970","103,660","34,670","9,120","25,850","29,020","28,460","46,180",
"Aggravated assault","300,860","38,750","262,110","37,900","12,240","26,510","38,080","55,460","168,570",
"Burglary","433,600","162,550","271,050","157,340","62,760","99,780","88,300","70,220","112,530",
"Larceny-theft","1,291,700","424,790","866,910","406,710","194,100","230,690","194,560","179,590","492,770",
"Motor vehicle theft","121,200","42,780","78,420","42,580","10,660","32,120","24,020","19,950","34,460",
"Arson","19,000","7,880","11,120","6,510","5,110","2,770","1,930","2,190","7,000",
"Simple assault","527,000","82,490","444,510","80,050","31,540","50,950","65,080","100,410","279,010",
"Forgery and counterfeiting","82,400","8,080","74,320","8,030","1,570","6,510","12,900","17,680","43,740",
"Fraud","270,700","17,010","253,690","16,840","7,500","9,520","23,830","48,970","180,880",
"Embezzlement","8,100","520","7,580","510","70","450","1,180","1,590","4,820",
"Stolen property (buying, receiving, possessing)","123,100","28,760","94,340","28,410","8,280","20,480","24,590","22,580","47,170",
"Vandalism","245,900","109,360","136,540","100,950","57,240","52,120","37,240","34,270","65,020",
"Weapons (carrying, possessing, etc.)","177,500","26,710","150,790","26,390","7,420","19,300","26,780","33,200","90,810",
"Prostitution and commercialized vice","112,200","2,870","109,330","2,860","320","2,550","17,150","36,180","56,000",
"Sex offense (except forcible rape and prostitution)","97,800","16,600","81,200","15,870","7,810","8,800","9,430","14,040","57,730",
"Drug abuse violations","708,400","83,170","625,240","82,980","13,930","69,240","129,470","174,670","321,100",
"Gambling","34,700","970","33,730","960","160","810","2,220","4,300","27,220",
"Offenses against the family and children","44,300","1,680","42,620","1,440","690","990","4,020","7,400","31,200",
"Driving under the influence","1,779,400","25,170","1,754,240","24,950","630","24,530","184,460","363,890","1,205,880",
"Liquor laws","505,500","132,480","373,020","132,330","11,030","121,450","189,670","67,350","116,000",
"Drunkenness","1,152,300","31,070","1,121,230","30,680","3,710","27,360","111,830","197,880","811,520",
"Disorderly conduct","665,900","93,550","572,350","91,690","27,680","65,870","110,410","141,680","320,260",
"Vagrancy","29,100","2,250","26,850","2,210","630","1,610","4,010","4,990","17,860",
"All other offenses (except traffic)","2,406,900","320,870","2,086,030","312,880","89,620","231,250","380,680","490,070","1,215,280",
"Curfew and loitering","86,600","86,600","0","85,840","24,400","62,200","0","0","0",
"Violent Crime Index","493,960","80,570","413,390","79,330","23,370","57,200","74,650","93,990","244,750",
"Property Crime Index","1,865,500","637,990","1,227,510","613,130","272,630","365,370","308,810","271,940","646,760",
"Violent crimes*","457,260","75,050","382,210","73,900","21,540","53,510","69,630","87,390","225,200",

"* The 'violent crimes' category includes the offenses of murder, robbery, and aggravated assault and is presented as an alternative to the Violent Crime Index, which is not available as a result of the change to the definition of rape in 2013. In any given year prior to the change in the rape definition, these three offenses accounted for more than 95% of arrests for Violent Crime Index offenses."

"Internet citation: OJJDP Statistical Briefing Book. Estimated number of arrests by offense and age group, 1984. Available: https://www.ojjdp.gov/ojstatbb/crime/ucr.asp?table_in=1. Released onNovember 16, 2020."

"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
