"Offenses","All ages","0 to 17","18 & older","10 to 17","0 to 14","15 to 17","18 to 20","21 to 24","25 & older",
"All offenses","14,870,030","2,543,300","12,326,730","2,502,110","834,240","1,709,060","1,934,530","2,052,290","8,339,910",
"Murder and nonnegligent manslaughter","21,230","3,260","17,970","3,250","380","2,880","4,620","4,080","9,280",
"Forcible rape","34,650","5,640","29,010","5,560","2,080","3,560","4,370","4,630","20,010",
"Robbery","171,870","55,640","116,230","55,310","15,580","40,060","31,810","23,180","61,240",
"Aggravated assault","568,480","85,080","483,400","83,850","27,240","57,840","63,110","79,030","341,270",
"Burglary","386,500","138,080","248,420","134,790","53,720","84,360","60,750","42,820","144,840",
"Larceny-theft","1,530,200","510,870","1,019,330","499,640","224,420","286,450","195,090","152,080","672,160",
"Motor vehicle theft","191,900","81,080","110,820","80,850","22,930","58,150","31,340","22,020","57,460",
"Arson","20,000","10,550","9,450","9,290","7,030","3,530","1,830","1,410","6,210",
"Simple assault","1,290,400","218,460","1,071,940","213,770","89,370","129,090","123,290","175,000","773,660",
"Forgery and counterfeiting","122,300","8,990","113,310","8,960","1,130","7,870","18,120","20,900","74,290",
"Fraud","436,400","22,440","413,960","22,300","5,630","16,810","45,080","73,470","295,410",
"Embezzlement","15,200","1,250","13,950","1,240","130","1,120","2,440","2,820","8,690",
"Stolen property (buying, receiving, possessing)","166,500","43,310","123,190","43,010","11,910","31,400","30,500","23,880","68,820",
"Vandalism","311,100","139,580","171,520","132,930","65,450","74,130","41,310","32,950","97,270",
"Weapons (carrying, possessing, etc.)","243,900","57,200","186,700","56,480","17,430","39,770","42,000","38,490","106,220",
"Prostitution and commercialized vice","97,700","1,260","96,450","1,240","190","1,060","6,160","13,210","77,070",
"Sex offense (except forcible rape and prostitution)","94,500","16,390","78,110","15,740","8,370","8,020","8,050","9,650","60,410",
"Drug abuse violations","1,476,100","195,710","1,280,390","195,330","32,690","163,020","237,040","229,080","814,260",
"Gambling","19,500","2,290","17,210","2,270","370","1,920","2,570","2,320","12,330",
"Offenses against the family and children","142,900","6,980","135,930","6,800","2,110","4,860","10,280","18,830","106,820",
"Driving under the influence","1,436,000","15,180","1,420,820","15,040","390","14,790","91,200","211,080","1,118,550",
"Liquor laws","594,900","127,530","467,370","127,310","13,380","114,140","229,450","58,320","179,600",
"Drunkenness","708,100","20,650","687,460","20,490","3,030","17,620","54,670","91,160","541,630",
"Disorderly conduct","748,600","176,460","572,150","174,130","60,540","115,910","102,170","110,870","359,110",
"Vagrancy","25,900","3,670","22,230","3,660","800","2,880","3,840","2,980","15,410",
"All other offenses (except traffic)","3,865,400","445,980","3,419,420","439,770","124,660","321,310","493,460","608,040","2,317,920",
"Curfew and loitering","149,800","149,800","0","149,100","43,270","106,530","0","0","0",
"Violent Crime Index","796,230","149,620","646,610","147,970","45,280","104,340","103,910","110,920","431,790",
"Property Crime Index","2,128,600","740,580","1,388,020","724,570","308,100","432,480","289,020","218,330","880,670",
"Violent crimes*","761,580","143,980","617,600","142,410","43,200","100,780","99,540","106,290","411,780",

"* The 'violent crimes' category includes the offenses of murder, robbery, and aggravated assault and is presented as an alternative to the Violent Crime Index, which is not available as a result of the change to the definition of rape in 2013. In any given year prior to the change in the rape definition, these three offenses accounted for more than 95% of arrests for Violent Crime Index offenses."

"Internet citation: OJJDP Statistical Briefing Book. Estimated number of arrests by offense and age group, 1995. Available: https://www.ojjdp.gov/ojstatbb/crime/ucr.asp?table_in=1. Released onNovember 16, 2020."

"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
